OTUID,SRR17879716,SRR17879717,SRR17879718,SRR17879719,SRR17879720,SRR17879721,SRR17879722,SRR17879723,SRR17879724,SRR17879725,SRR17879727,SRR17879728,SRR17879729,SRR17879755,SRR17879756,SRR17879757,SRR17879758,SRR17879759,SRR17879760,SRR17879761,SRR17879762,SRR17879763,SRR17879764,SRR17879766,SRR17879767,SRR17879768,SRR17879769,SRR17879770,SRR17879771,SRR17879772,SRR17879773,SRR17879774,SRR17879775,SRR17879777,SRR17879778,SRR17879779,SRR17879780,SRR17879781,SRR17879782,SRR17879783,SRR17879786,SRR17879787,SRR17879788,SRR17879790,SRR17879791,SRR17879792,SRR17879793,SRR17879794,SRR17879795,SRR17879796,SRR17879797,SRR17879798,SRR17879799,SRR17879801,SRR17879802,SRR17879803,SRR17879804,SRR17879805,SRR17879806,SRR17879807,SRR17879808,SRR17879809,SRR17879810
c3e538412750794dd04ace5ca7f9fd6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83feb0deb77c5f7073351302e2eaf962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
c2a2814930bb70d7b8ed0f3d87fc3c26,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1e4fbc251a373964f8dd413fe384863,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690e2273c10c05bf4f9b7b59c0007b5e,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,0,21,0,31,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947f649fdd4e28423d40e9f4c76e0060,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a9e6cb49215667da0fefd264cd6147e,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a474c02712c8bc614aea0e2fbe3fab1e,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a539ea8b352f17e700b0aba843fd98d5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f54de770a034893fba4a2ea625c6e63,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
