OTUID,SRR19238715,SRR19238716,SRR19238717,SRR19238718,SRR19238719,SRR19238720,SRR19238721,SRR19238722,SRR19238723,SRR19238724,SRR19238725,SRR19238726,SRR19238727,SRR19238728,SRR19238729,SRR19238730,SRR19238731,SRR19238732,SRR19238733
7666ac8c015a9c5ad3d3ff45175f4c04,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
02b19c3cdd83724b5fce4f56b745ea93,94,26,0,97,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2367fd96d902db843bed10b9648b724d,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7722c1da3a9fb79f70facd288213e67,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
f598fb3fc2a354b0b8559a5fbcde2323,17,24,16,19,0,0,0,0,0,0,38,0,0,102,109,0,58,0,0
db325ecb5aa79520e5b6cbe3e70014ff,36,47,19,73,59,0,0,0,0,0,0,0,0,36,46,0,0,0,0
2ce944a22b6bb4e55d1bb7707fe953b2,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
e1d4d9e999911a265267260c0eea4b8e,143,93,65,592,459,0,0,0,0,0,0,0,0,85,46,0,0,0,16
d94cfab79e2306a2327bb51ef62f1faa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
ff2ef234acc1ca0e3cbb900c3be2e4fe,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666d3dbce836040b2ade94170f6252c5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
7a2274575d3115f718be8a51e451a6ce,0,0,0,0,0,81,173,49,0,0,0,0,0,0,0,0,0,0,0
e93eeafff6ae33b22ba0ef648499f522,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
0cf1a1c32f52118fd80bced09c91ff36,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9262533b55e3057ad8b52deb4677d608,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,17,0,0,0
bbb72c09fea3f9e3b72cec6309c4f8bb,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
06588724c7e2cea5f634c4bb1ff612ad,0,0,0,0,0,24,51,9,0,39,0,0,0,0,0,0,0,0,0
989a16a7ac14f401f45ab99a41d25a58,0,0,0,0,0,0,0,0,0,64,0,21,36,0,0,0,0,0,0
3f386604883c36d0ad5554f354ee5db2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
5a2c38830458ed42c2b9ebb405a74348,0,0,0,0,0,0,0,0,0,63,13,89,0,0,0,0,0,0,0
d5d80a670591d6309f2f11ad68bf083b,0,0,0,0,0,3,0,0,0,202,66,0,0,0,0,0,0,0,0
7f996cba3b8781de873507881b584e30,10,0,0,0,0,94,188,138,0,22,0,26,120,0,59,0,117,0,0
39350e414749f92957374b81918acf9e,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
617b27563a7e211fd9ad5513d11b2eb0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
117e74e40ff7ef11b48f824955e898bd,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,28,0,0
d3859a2aa82b4203132d698f6d4eb7a1,0,0,0,5,0,764,855,1283,0,1116,295,0,91,0,0,46,28,0,0
73838a686080838164aee225e279390d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
7cf70c7328dd543650c23a891cede495,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59b913afd045a031a2032366a4bc0833,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92d97fa3ff1eaea527c37c71dccf1097,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956946776166329c9a84c8a1bf5d27f8,251,1439,345,94,865,0,0,0,0,0,0,0,0,0,7,0,0,709,301
9fb9102b4dfc14e5980954556971e467,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce5dd98316a7323a0ef6987842352bfa,0,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ff6d2dc6cbde3209baedddca8f960339,0,0,0,20,0,0,0,0,0,0,0,0,0,68,54,0,0,0,0
f5db3da86b98fc5973528a86085cba5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ad224bc69826783c1c4553c3228b5d92,0,0,0,0,0,9,26,0,0,0,0,0,0,0,0,55,56,0,0
f4c683334a4434c5a422cdc6e910dc5b,0,0,0,0,0,0,0,0,0,32,15,0,0,0,0,0,0,0,0
ad246f3fa20e21d8ec94d1032f10bac8,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
727b19a3f7c7e8c08e740fef32498a63,0,0,0,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d96e958ac52ebfd3e3e23942dd01308,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a01ee3c4f4165468dcf4b362869bda1,62,49,75,0,0,0,0,0,0,0,0,0,0,48,79,0,0,55,31
e52ff727a2ef7bf0f8611af5384ce12d,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7135c8090f8beb57de2c40b2a8713611,0,0,0,0,0,0,50,11,0,0,0,0,0,0,0,0,0,0,0
9ede0594d30665598a87a4f4d5ffe48e,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746c424fbacdb9d8635bb1fc250130f3,0,21,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a42902fb9f6baac0a47a436d4b0cef88,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2eb8b441b8383ae7108116cd613383a8,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
16732ff200782618acd691f41570460a,0,16,0,0,47,260,124,0,0,414,84,264,57,3422,79,662,31,0,0
5987cf4f59c3ef1d1fccb535e1e99407,0,0,0,0,0,0,0,0,0,58,0,40,0,0,0,0,0,0,0
16b43c901869d0b9c78503082fe35e87,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0
80dc0a63a2a2637d5a879ef59fd6d075,0,23,0,0,0,0,0,0,0,64,13,39,0,388,56,61,7,0,0
4df3d1025d362f13518aa9fab4952cef,231,141,111,237,374,0,0,0,0,0,0,0,0,411,565,0,0,127,52
1a7715c0c21bf4b0fb410e349b52adb1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
a317ac168a7bb1c3a68f1ef3131335df,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5a5d98ae922c86707474fc68f653ab03,0,0,0,0,0,10,75,21,0,0,0,0,0,0,0,0,0,0,0
bf09b5d86ed9332af94b951ea07e15c3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
163cc11619769067138ec7e84934b3d3,0,0,0,0,0,0,0,6,0,0,0,0,25,0,0,0,24,0,0
f742ba7748e85e819fe6d7d7f5c99258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
9a6efd6fa58796310116f54a46a0e77f,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
c721b07b90ec3773f52682d272f3c3bb,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
957dc9144fe2409e299f7a4e07661663,8,0,0,78,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4b54f3e681d48541736aeefbe6d49da5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a74e474418e79ffff484acb2847d918a,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127c5fd91c8cc88f8d704c56988b18ea,0,0,0,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76e60604a4c738bedf1ffac34cbb6fd9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
42a2a436ba0282b0fd70691fa74a3414,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
67f00b40edfda4ddec9cc80c3c0776b4,0,0,0,323,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724312d1644b9c231717c93dd4755b34,0,0,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27ca60b595d5f46652aad85ae19c2f83,10,4,6,12,9,0,0,0,0,0,0,0,0,110,162,0,0,0,0
910c35b70817382e6822362aff9be12d,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
ce0633c0d1094ff53df55c5b6ea260e7,0,17,0,34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77c9ed16e384057f217cc691f26f9205,0,0,0,370,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435a7788b212b736b6b509716a74bd13,46,17,0,173,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa8eefd04b71d86e0212cc33bdcc663e,0,7,0,0,10,0,0,0,0,0,0,0,0,0,16,0,0,0,0
36878dd22bc9189ec11e9e97543e4f15,0,0,0,30,11,100,363,225,0,65,244,37,66,45,33,5,68,0,0
47105ddec665cfa640e0d2466f13347e,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2223ca2c908acd4b3ebfb58f040a23f2,0,0,0,0,0,63,111,57,0,0,22,59,54,0,0,0,11,0,0
adee772f8710430f88aa21303b0386ba,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
7d08743d17eea3040fc6ff27becebc2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0
980e2f044c74a6078c9a97d4a702737d,0,0,0,0,0,0,0,17,0,7,0,42,5,0,0,78,6,0,0
52ccb2c5539f12e2f9224526ef013864,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
4cc970b699da6ff0af0a3a0f1acc881c,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60c89f871a56428fa5b1a2dca4473cbd,0,0,0,0,0,0,0,0,0,0,20,37,17,0,0,13,15,0,0
4ef435a5754289802da21bd9ad0ccbb8,0,0,0,0,0,10,52,0,0,0,0,0,0,0,0,0,0,0,0
c9ff483e0c7d09bbf6b5ff8ee1786566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
